Job Title/Requirement Name,Job Code,STATE,DISTRICT,Zone,Status,No Of Openings,Start Date,Closed Date,SPOC,Shared on,Industry,Company, Vertical,Division,CtC -min,CTC-Max,JD.attchment attachment,HR.person,Email id,Phone nr,nr of CV shared,HR manger,email.id,phone nr,stakeholder,email.id,phone.nr,MLI CODE of selected candidate ,Joining date 
Area Head -Liability- Kolkata ,CB16789,WEST_BENGAL,Kolkata ,East,open,3,2020-03-26,2020-06-30,VINEET,17.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Area Head -Liability-Guwahati,CB16790,ASSAM,Guwahati,N.East,open,2,2020-03-26,2020-06-30,VINEET,22.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Area Head -Liability-Patna,CB16791,BIHAR ,Patna,East,open,4,2020-03-26,2020-06-30,JYOTI ,17.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Area Head -Liability-Raipur,CB16792,CHATTISGARH,Raipur ,C.East,open,2,2020-03-26,2020-06-30,JYOTI ,21.03.2020 /20.04.20,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,pranav,,,,
Area Head -Liability-Bhubaneswar-Cuttack,CB16793,ODISHA ,Cuttack,East,open,1,2020-03-26,2020-06-30,JYOTI ,,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Area Head -Liability-Bhubaneswar-Bhadrak,CB16794,ODISHA ,Bhadrak,East,open,1,2020-03-26,2020-06-30,JYOTI ,,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Area Head -Liability-West Bengal-Malda,CB16795,WEST_BENGAL,Malda,East,open,1,2020-03-26,2020-06-30,NEHA ,,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Area Head -Liability-West Bengal-Burdwan2,CB16796,WEST_BENGAL,Malda,East,open,1,2020-03-26,2020-06-30,NEHA ,28.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Bhubaneswar-Sambhalpur,CB16797,ODISHA ,Sambalpur,East,open,1,2020-03-26,2020-06-30,JYOTI ,23.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Bhubaneswar-Belangir,CB16798,ODISHA ,Balangir ,East,open,1,2020-03-26,2020-06-30,JYOTI ,23.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Bhubaneswar-Bhubaneswar,CB16799,ODISHA ,bhubaneswar,East,open,1,2020-03-26,2020-06-30,JYOTI ,23.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Kolkata,CB16800,WEST_BENGAL,Kolkata ,East,open,3,2020-03-26,2020-06-30,NEHA ,17.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Patna-Darbhanga,CB16801,BIHAR ,Darbhanga,East,open,1,2020-03-26,2020-06-30,JYOTI ,,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Patna- Begusarai,CB16802,BIHAR ,Begusarai,East,open,1,2020-03-26,2020-06-30,JYOTI ,,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Patna-Patna,CB16803,BIHAR ,Patna,East,open,1,2020-03-26,2020-06-30,JYOTI ,20.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Patna- Ranchi,CB16804,JHARKHAND,Ranchi ,East,open,1,2020-03-26,2020-06-30,JYOTI ,,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Raipur-Katna/katni,CB16805,CHATTISGARH,Raipur ,C.East,open,1,2020-03-26,2020-06-30,JYOTI ,20.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,pranav,,,,
Cluster Head- Retail-Raipur-Jagdalpur,CB16806,CHATTISGARH,Raipur ,C.East,open,1,2020-03-26,2020-06-30,JYOTI ,20.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,pranav,,,,
Cluster Head- Retail-West Bengal-Siliguri,CB16807,WEST_BENGAL,Siliguri,East,open,1,2020-03-26,2020-06-30,NEHA ,28.04.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-West Bengal- Durgapur,CB16808,WEST_BENGAL,Durgapur,East,open,1,2020-03-26,2020-06-30,NEHA ,2.05.2020,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-North East -Imphal,CB16809,MANIPUR,Imphal East ,N.East,open,1,2020-03-26,2020-06-30,NEHA ,,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-North East -Other location,CB16810,MANIPUR,Imphal East ,N.East,open,1,2020-03-26,2020-06-30,NEHA ,,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,,,,,
Cluster Head- Retail-Bilaspur,CB16811,HIMACHAL_PRADESH,Bilaspur ,North,open,1,2020-03-26,2020-06-30, vineet/neha/jyoti,21.03.2020/20.04.20,Insurance,Max,Bancassurance,Axis,"6,00,000","10,00,000",,Michelle,,,, sourish,,,pranav,,,,
Associate Agency Development Manager-Udaipur 3_Greenfield,MLI16685,RAJASTHAN,Udaipur ,North,open,10,2020-03-26,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager-Udaipur ,MLI16684,RAJASTHAN,Udaipur ,North,open,10,2020-03-26,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager-Sri Ganga Nagar,MLI16683,RAJASTHAN,Ganganagar ,North,open,10,2020-03-26,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager-Kota,MLI16682,RAJASTHAN,Kota ,North,open,10,2020-03-26,2020-06-30,NEHA ,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager-Jodhpur 3_OWO,MLI16681,RAJASTHAN,Jodhpur ,North,open,10,2020-03-26,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager-Jodhpur  ,MLI16680,RAJASTHAN,Jodhpur ,North,open,10,2020-03-26,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager-Jaipur Greenfield,MLI16679,RAJASTHAN,Jaipur ,North,open,10,2020-03-26,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
Associate Agency Development Manager-Jaipur 6_OWO,MLI16678,RAJASTHAN,Jaipur ,North,open,10,2020-03-26,2020-06-30,,,Insurance,Max,Agency,Agencies,,,,,,,,,,,,,,,
TM - S2S Ludhiana-Ludhiana GO,MLI16390,PUNJAB ,Ludhiana,North,open,1,3/5/2020,2020-06-30,NEHA ,16.03.2020,Insurance,Max,Agency,Sprac,,,,Sheena,,,,,,,,,,,
TM - S2S Dehradun-Dehradun,MLI16386,UTTARAKHAND ,Dehradun ,North,open,1,3/5/2020,2020-06-30,,,Insurance,Max,Agency,Sprac,,,,,,,,,,,,,,,
